立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
02518018,O0050018,廢一般容器回收清除處理辦法,,廢止法規＞行政院環境保護署
02518020,O0050019,一般事業廢棄物代清除處理費收費標準訂定準則,,廢止法規＞行政院環境保護署
02518025,O0050020,廢機動車輛回收清除處理辦法,,廢止法規＞行政院環境保護署
02518019,O0050021,有害事業廢棄物再利用許可辦法,,廢止法規＞行政院環境保護署
09374001,O0050022,鼓勵公民營機構興建營運垃圾焚化廠作業辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518033,O0050023,有害事業廢棄物認定標準,,行政＞行政院環境保護署＞廢棄物管理目
02518021,O0050024,一般廢棄物回收清除處理辦法,一般廢棄物貯存清除處理方法及設施標準,行政＞行政院環境保護署＞廢棄物管理目
02301091,O0050025,廢一般物品及容器資源回收管理基金收支保管及運用辦法,,廢止法規＞行政院環境保護署
02301090,O0050026,廢特定物品及容器資源回收管理基金收支保管及運用辦法,,廢止法規＞行政院環境保護署
02518023,O0050027,廢一般物品及容器回收清除處理辦法,,廢止法規＞行政院環境保護署
02518024,O0050028,廢特定物品及容器回收清除處理辦法,,廢止法規＞行政院環境保護署
02017015,O0050029,占用道路廢棄車輛認定基準及查報處理辦法,佔用道路廢棄車輛認定標準查報處理及收取費用辦法,行政＞交通部＞公路目
02518026,O0050030,資源回收管理基金信託基金部分收支保管及運用辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518027,O0050031,廢物品及容器回收清除處理辦法,,廢止法規＞行政院環境保護署
02518028,O0050032,獎勵實施資源回收及變賣所得款項運用辦法,,廢止法規＞行政院環境保護署
02301099,O0050033,資源回收管理基金非營業基金部分收支保管及運用辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518030,O0050034,經濟部事業廢棄物共同清除處理機構管理辦法,"工業廢棄物共同清除處理機構管理輔導辦法;工業廢棄物共同清除處理機構管理辦法;工業廢棄物共同清除處理機構管理輔導辦法,工業廢棄物共同清除處理機構管理辦法",行政＞經濟部＞工業目
02518032,O0050035,教育機構事業廢棄物共同清除處理機構管理辦法,教育機構廢棄物共同清除處理機構管理輔導辦法,行政＞教育部＞資訊及科技教育目
02518036,O0050037,物品及容器商品販賣業者登記及回收設施管理辦法,,廢止法規＞行政院環境保護署
02518037,O0050038,科學園區廢棄物共同清除處理機構管理辦法,科學工業園區廢棄物共同清除處理機構管理辦法,行政＞國家科學及技術委員會＞園區目
02518040,O0050040,公民營廢棄物清除處理機構申請許可案件收費標準,,行政＞行政院環境保護署＞廢棄物管理目
02518044,O0050041,廢棄物及剩餘土石方清除機具處理設施或設備扣留作業辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518031,O0050042,民眾檢舉違反廢棄物清理法案件獎勵辦法,,廢止法規＞行政院環境保護署
02518046,O0050043,違反廢棄物清理法按日連續處罰執行準則,,行政＞行政院環境保護署＞廢棄物管理目
02518047,O0050044,醫療事業廢棄物再利用管理辦法,,行政＞衛生福利部＞醫事目
02518048,O0050045,事業廢棄物處理設施餘裕處理容量許可管理辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518049,O0050046,廢電子電器物品回收貯存清除處理方法及設施標準,,廢止法規＞行政院環境保護署
02518050,O0050047,依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法,,行政＞行政院環境保護署＞廢棄物管理目
02518051,O0050048,事業辦理廢棄物清理及資源減量回收再利用績效優良獎勵辦法,,廢止法規＞行政院環境保護署
02518052,O0050050,指定公營事業設置廢棄物清除處理設施管理辦法,,行政＞行政院環境保護署＞廢棄物管理目
09375001,O0060003,環境衛生用藥管理辦法,環境衛生用殺蟲劑管理辦法,廢止法規＞行政院環境保護署
09375002,O0060004,公共場所禁菸辦法,,廢止法規＞行政院環境保護署
03706005,O0060005,軍事機關運作毒性及關注化學物質管理辦法,"軍事機關及其所屬單位毒性化學物質管理辦法;軍事機關運作毒性化學物質管理辦法;軍事機關及其所屬單位毒性化學物質管理辦法,軍事機構運作毒性化學物質管理辦法,軍事機關運作毒性化學物質管理辦法",行政＞國防部＞軍備後勤目
03719001,O0060006,環境用藥管理法施行細則,,行政＞行政院環境保護署＞衛生及毒物管理目
03719002,O0060007,環境用藥專業技術人員設置管理辦法,,行政＞行政院環境保護署＞衛生及毒物管理目
03719004,O0060009,遺傳工程環境用藥微生物製劑開發試驗研究管理辦法,,行政＞行政院環境保護署＞衛生及毒物管理目
03719005,O0060010,環境用藥工廠設廠標準,,行政＞行政院環境保護署＞衛生及毒物管理目
03719003,O0060011,病媒防治業管理辦法,,行政＞行政院環境保護署＞衛生及毒物管理目
03706001,O0060013,毒性及關注化學物質管理法施行細則,毒性化學物質管理法施行細則,行政＞行政院環境保護署＞衛生及毒物管理目
03706003,O0060015,毒性及關注化學物質運送管理辦法,毒性化學物質運送管理辦法;毒性化學物質運作獎勵辦法;毒性及關注化學物質運作獎勵辦法;毒性化學物質災害救助種類及標準;毒性化學物質及懸浮微粒物質災害救助種類及標準;毒性及關注化學物質災害與懸浮微粒物質災害救助種類及標準;學術機構毒性化學物質管理辦法;學術機構運作毒性化學物質管理辦法;學術機構運作毒性及關注化學物質管理辦法;毒性化學物質運作許可申請收費標準;毒性化學物質運作申請收費標準;毒性化學物質運作申請及化學物質資料登錄收費標準;毒性及關注化學物質管理法規費收費標準,行政＞行政院環境保護署＞衛生及毒物管理目
02520009,O0070002,放流水水質水量檢驗測定收費標準,,行政＞行政院環境保護署＞檢驗目
02519029,O0070004,機動車輛排放空氣污染物及噪音檢驗測定機構管理辦法,機動車輛排放空氣污染物及噪音檢驗機構管理辦法,行政＞行政院環境保護署＞檢驗目
09376002,O0070005,環境檢測標準方法訂定準則,,廢止法規＞行政院環境保護署
03710004,O0080002,公害糾紛處理法施行細則,,行政＞行政院環境保護署＞公害糾紛目
03710005,O0080003,公害糾紛處理收費辦法,,行政＞行政院環境保護署＞公害糾紛目
03716013,O0090002,環境影響評估法施行細則,,行政＞行政院環境保護署＞環境影響評估目
03716026,O0090003,開發行為環境影響評估作業準則,,行政＞行政院環境保護署＞環境影響評估目
03716025,O0090004,一般性開發行為環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716003,O0090005,工業區開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716002,O0090006,港灣開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716005,O0090007,高爾夫球場運動場地開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716004,O0090008,遊樂區風景區開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716007,O0090009,土石採取探礦採礦環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716006,O0090010,環境影響評估書件審查收費辦法,,行政＞行政院環境保護署＞環境影響評估目
03716008,O0090011,大眾捷運系統開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716011,O0090012,開發行為應實施環境影響評估細目及範圍認定標準,,行政＞行政院環境保護署＞環境影響評估目
03716012,O0090013,新市區建設舊市區更新環境影響評估作業準則,,廢止法規＞行政院環境保護署
02519031,O0090014,環境保護事業機構管理辦法,,廢止法規＞行政院環境保護署
03716014,O0090015,機場開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716015,O0090016,道路鐵路開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716009,O0090017,焚化爐工程興建環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716010,O0090018,污水下水道系統工程興建環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716016,O0090019,文教醫療建設環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716017,O0090020,廢棄物掩埋場工程興建環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716018,O0090021,高樓建築環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716019,O0090022,工廠設立環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716023,O0090023,核能電廠開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716024,O0090024,放射性核廢料儲存處理場所興建環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716022,O0090025,火力發電汽電共生工程開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716021,O0090026,蓄水供水防洪排水水力發電工程開發環境影響評估作業準則,,廢止法規＞行政院環境保護署
03716020,O0090027,農林漁牧地開發利用環境影響評估作業準則,,廢止法規＞行政院環境保護署
03102004,O0090028,山坡地重大開發利用行為環境影響評估範圍及作業準則,,廢止法規＞行政院環境保護署
03716027,O0090029,政府政策環境影響評估作業辦法,,行政＞行政院環境保護署＞環境影響評估目
09240002,P0000003,中國廣播公司國際廣播人員退休審核辦法,,廢止法規＞行政院新聞局
01024002,P0000004,行政院新聞局諮詢委員會設置辦法,,行政＞文化部＞組織目
01024003,P0000005,行政院新聞局法規委員會組織規程,,廢止法規＞外交部
01024004,P0010001,行政院新聞局辦事細則,,廢止法規＞外交部
09241001,P0010002,大眾傳播財團法人設立許可及監督準則,,廢止法規＞行政院新聞局
02409005,P0010003,有線廣播電視審議委員會審議規則,有線電視審議委員會審議規則,行政＞國家通訊傳播委員會＞組織目
,P0010004,行政院新聞局保密實施細則,,廢止法規＞行政院新聞局
04903009,P0020001,行政院新聞局專業獎章頒給辦法,,廢止法規＞文化部
02412001,P0020003,中央廣播電臺董監事遴聘辦法,,行政＞文化部＞組織目
01459002,P0020004,動員實施階段大眾傳播事業及從業人員管制辦法,,行政＞文化部＞影視出版目
02402001,P0030002,出版法施行細則,,廢止法規＞行政院新聞局
09242001,P0030004,我國廠商接受國外委託加工出版品出口輔導辦法,,廢止法規＞行政院新聞局
02403001,P0030005,行政院新聞局金曲獎獎勵辦法,,廢止法規＞行政院新聞局
01839008,P0030006,香港澳門出版品電影片錄影節目廣播電視節目進入臺灣地區或在臺灣地區發行銷售製作播映展覽觀摩許可辦法,香港澳門出版品電影片錄影節目廣播電視節目進入臺灣地區或在臺灣地區發行製作播映許可辦法,行政＞文化部＞影視出版目
02403002,P0030007,行政院新聞局優良文化教育有聲出版品發行補助辦法,,廢止法規＞行政院新聞局
01024005,P0030008,行政院新聞局輔導出版事業辦法,,廢止法規＞行政院新聞局
09243001,P0040001,獎勵優良國語影片辦法,,廢止法規＞行政院新聞局
02405001,P0040003,電影法施行細則,,行政＞文化部＞影視出版目
02405002,P0040004,電影片輸入輸出許可辦法,,廢止法規＞文化部
02405003,P0040005,電影事業暨電影從業人員獎勵及輔導辦法,,廢止法規＞文化部
09243002,P0040006,行政院新聞局鼓勵檢舉查獲違法案件獎勵辦法,,廢止法規＞行政院新聞局
02405004,P0040007,電影片與其廣告片審議分級處理及廣告宣傳品使用辦法,電影片分級處理辦法,行政＞文化部＞影視出版目
02406003,P0050002,廣播電視法施行細則,,行政＞國家通訊傳播委員會＞傳播目
,P0050003,廣播電視事業負責人管理規則,廣播電視事業負責人與從業人員管理規則,行政＞國家通訊傳播委員會＞傳播目
02406006,P0050006,廣播電視廣告內容審查標準,,廢止法規＞國家通訊傳播委員會
03615007,P0050007,大眾傳播事業聘僱外國人許可及管理辦法,,廢止法規＞行政院新聞局
,P0050009,有線電視節目播送系統管理辦法,有線電視節目播送系統暫行管理辦法;有線電視法施行細則;有線廣播電視法施行細則,行政＞國家通訊傳播委員會＞傳播目
,P0050011,有線廣播電視廣告製播標準,有線電視廣告製作標準;有線電視系統經營者天然災害及緊急事故應變辦法;有線廣播電視系統經營者天然災害及緊急事故應變辦法,行政＞國家通訊傳播委員會＞傳播目
02415001,P0050014,衛星廣播電視法施行細則,,行政＞國家通訊傳播委員會＞傳播目
02415002,P0050015,衛星廣播電視事業設置地球電臺管理辦法,衛星廣播電視工程技術管理辦法,行政＞國家通訊傳播委員會＞通訊目
02409008,P0050016,電視節目分級處理辦法,,行政＞國家通訊傳播委員會＞傳播目
02406007,P0050017,無線電視節目審查辦法,,廢止法規＞國家通訊傳播委員會
02409009,P0050018,有線廣播電視系統經營者收費標準,,行政＞國家通訊傳播委員會＞收費標準目
02409010,P0050019,有線廣播電視事業發展基金收支保管及運用辦法,,行政＞國家通訊傳播委員會＞傳播目
02415003,P0050024,衛星廣播電視廣告製播標準,,廢止法規＞國家通訊傳播委員會
02409011,P0050027,有線廣播電視系統經營者會計制度及其標準程式準則,,行政＞國家通訊傳播委員會＞傳播目
01039001,Q0000002,行政院大陸委員會諮詢委員遴聘及集會辦法,,行政＞大陸委員會＞人事法規目
01039003,Q0000003,行政院大陸委員會顧問遴聘辦法,,行政＞大陸委員會＞人事法規目
01039004,Q0000004,行政院大陸委員會會議規則,,行政＞大陸委員會＞組織目
01039002,Q0000005,大陸事務財團法人設立許可及監督準則,,廢止法規＞行政院大陸委員會
01039005,Q0000006,行政院大陸委員會辦事細則,,廢止法規＞大陸委員會
09100008,Q0000007,受託處理大陸事務財團法人訂定協議處理準則,,行政＞大陸委員會＞通用法規目
02301069,Q0000008,中華發展基金收支保管及運用辦法,,廢止法規＞行政院大陸委員會
01825080,Q0000009,公務員轉任受託處理大陸事務機構轉任方式回任年資採計方式職等核敘及其他應遵行事項辦法,公務員轉任受託處理大陸事務機構回任時服務年資採計辦法,考試＞銓敘部＞任用目
01039006,Q0000010,行政院大陸委員會香港事務局組織規程,,廢止法規＞大陸委員會
,Q0000011,行政院大陸委員會澳門事務處組織規程,,廢止法規＞大陸委員會
01825001,Q0010002,臺灣地區與大陸地區人民關係條例施行細則,,行政＞大陸委員會＞基本法規目
01839001,Q0010004,香港澳門關係條例施行細則,,行政＞大陸委員會＞基本法規目
,Q0010005,行政院大陸委員會香港事務局辦事細則,,廢止法規＞大陸委員會
01039010,Q0010006,行政院大陸委員會澳門事務處辦事細則,,廢止法規＞大陸委員會
04903026,Q0010007,行政院大陸委員會大陸工作專業獎章頒給辦法,,行政＞大陸委員會＞通用法規目
,Q0020001,大陸同胞來臺定居者年齡得由七十五歲降低為七十歲審查標準,,行政＞大陸委員會＞通用法規目
09261001,Q0020002,國軍退除役官兵死亡暨遺留財物處理辦法,,廢止法規＞行政院國軍退除役官兵輔導委員會
01825032,Q0020003,大陸地區法律專業人士來臺從事法律相關活動許可辦法,,廢止法規＞法務部
01825033,Q0020004,大陸地區土地及營建專業人士來臺從事土地或營建專業活動許可辦法,,廢止法規＞內政部
01825029,Q0020005,大陸地區農業專業人士來臺從事農業相關活動許可辦法,,廢止法規＞行政院農業委員會
01825038,Q0020006,大陸地區專業人士來臺從事專業活動許可辦法,,廢止法規＞內政部
01825042,Q0020007,大陸地區人民及香港澳門居民強制出境處理辦法,,行政＞內政部＞移民目
01839006,Q0020008,香港澳門居民進入臺灣地區及居留定居許可辦法,,行政＞內政部＞移民目
01839002,Q0020009,香港澳門居民強制出境處理辦法,,廢止法規＞內政部
01839003,Q0020010,香港澳門居民收容處所設置及管理辦法,,廢止法規＞內政部
01825043,Q0020011,大陸地區人民及香港澳門居民入出境許可證件規費收費標準,,行政＞內政部＞移民目
01825044,Q0020012,大陸地區人民及香港澳門居民收容管理辦法,大陸地區人民及香港澳門居民收容處所設置及管理辦法;大陸地區出版品電影片錄影節目廣播電視節目進入臺灣地區或在臺灣地區發行製作播映許可辦法;大陸地區出版品電影片錄影節目廣播電視節目進入臺灣地區或在臺灣地區發行銷售製作播映展覽觀摩許可辦法,行政＞內政部＞移民目
01825014,Q0030002,大陸地區專業人士及學生來臺從事文教活動許可辦法,,廢止法規＞教育部
,Q0030003,大陸地區科技人士來臺從事研究許可辦法,,廢止法規＞行政院國家科學委員會
01825039,Q0030004,大陸地區古物運入臺灣地區公開陳列展覽許可辦法,大陸地區古物運入臺灣地區公開陳列展覽作業辦法,行政＞文化部＞文化資產目
01825017,Q0030005,大陸地區大眾傳播人士來臺參觀訪問採訪拍片製作節目許可辦法,,廢止法規＞行政院新聞局
01825016,Q0030006,臺灣地區大眾傳播事業赴大陸地區採訪拍片製作節目管理辦法,,廢止法規＞行政院新聞局
01839007,Q0030007,香港澳門居民來臺就學辦法,,行政＞教育部＞國際及兩岸事務目
01839004,Q0030008,香港澳門學歷檢覈及採認辦法,,行政＞教育部＞高等教育目
,Q0030009,大陸地區傑出民族藝術及民俗技藝人士來臺傳習許可辦法,,廢止法規＞行政院文化建設委員會
01825024,Q0030010,大陸地區宗教人士來臺從事宗教活動許可辦法,,廢止法規＞內政部
01825031,Q0030011,大陸地區環境保護專業人士來臺從事環境保護相關活動許可辦法,,廢止法規＞行政院環境保護署
01825028,Q0030012,大陸地區交通專業人士來臺從事交通事務相關活動許可辦法,,廢止法規＞交通部
01825007,Q0040001,在大陸地區從事投資或技術合作許可辦法,,行政＞經濟部＞投資目
01825009,Q0040002,臺灣地區與大陸地區貿易許可辦法,,行政＞經濟部＞國際貿易目
01825012,Q0040003,大陸地區產業技術引進許可辦法,,行政＞經濟部＞投資目
01825011,Q0040004,臺灣地區與大陸地區金融業務往來及投資許可管理辦法,臺灣地區與大陸地區金融業務往來許可辦法,行政＞金融監督管理委員會＞銀行目
01825034,Q0040005,臺灣地區與大陸地區證券期貨業務往來及投資許可管理辦法,臺灣地區與大陸地區證券及期貨業務往來許可辦法,"行政＞金融監督管理委員會＞證券暨期貨管理目  "
01825040,Q0040006,臺灣地區會計師及其助理人員加入大陸地區註冊會計師協會為非執業會員許可辦法,,廢止法規＞財政部
09193020,Q0040008,大陸地區物品管理辦法,,廢止法規＞經濟部
09193021,Q0040009,對大陸地區間接輸出貨品管理辦法,,廢止法規＞經濟部
09192004,Q0040010,對大陸地區從事間接投資或技術合作管理辦法,,廢止法規＞經濟部
01825030,Q0040011,大陸地區財金專業人士來臺從事財金事務相關活動許可辦法,,廢止法規＞財政部
01825021,Q0040012,在大陸地區從事商業行為許可辦法,,行政＞經濟部＞商業目
01825027,Q0040013,大陸地區人民來臺從事經貿相關活動許可辦法,,廢止法規＞經濟部
01839005,Q0040014,對香港澳門投資或技術合作審核處理辦法,,行政＞經濟部＞投資目
,Q0050001,開放臺灣地區與大陸地區民眾間接通話（報）實施辦法,,行政＞大陸委員會＞通用法規目
01825026,Q0050002,臺灣地區與大陸地區民用航空運輸業間接聯運許可辦法,,行政＞交通部＞航空目
01825010,Q0060001,臺灣地區公務員及特定身分人員進入大陸地區許可辦法,臺灣地區人民進入大陸地區許可辦法,行政＞內政部＞移民目
01825004,Q0060002,大陸地區人民進入臺灣地區許可辦法,,行政＞內政部＞移民目
01825003,Q0060003,大陸地區人民在臺灣地區依親居留長期居留或定居許可辦法,大陸地區人民在臺灣地區定居或居留許可辦法,行政＞內政部＞移民目
01825037,Q0060004,大陸地區人民繼承被繼承人在臺灣地區之遺產管理辦法,,行政＞財政部＞國有財產目
01825002,Q0060005,就養榮民赴大陸地區長期居住就養給付發給辦法,就養榮民進入大陸地區定居就養給付發給辦法,行政＞國軍退除役官兵輔導委員會＞就養目
01825005,Q0060006,退除役官兵死亡無人繼承遺產管理辦法,,行政＞國軍退除役官兵輔導委員會＞輔導管理目
01825006,Q0060007,現役軍人死亡無人繼承遺產管理辦法,,行政＞國防部＞留守業務目
01825018,Q0060011,臺灣地區與大陸地區人民關係條例施行前進入臺灣地區之大陸地區配偶申請居留或定居許可辦法,,廢止法規＞內政部
01825025,Q0060012,大陸地區衛生專業人士來臺從事衛生相關活動許可辦法,,廢止法規＞行政院衛生署
01825046,N0090036,大陸地區配偶在臺灣地區依親居留期間工作許可及管理辦法,大陸地區配偶在臺灣地區停留期間工作許可及管理辦法,廢止法規＞行政院勞工委員會
01839010,Q0060014,駐香港或澳門機構在當地聘僱人員及聘僱期間認定辦法,,行政＞大陸委員會＞人事法規目
01177014,R0000002,公職候選人檢覈委員會組織規程,動員戡亂時期公職候選人檢覈委員會組織規程,廢止法規＞考選部
04602001,R0000003,考選部訓練委員會組織規程,,廢止法規＞考選部
04602008,R0000004,考選部專門職業及技術人員檢覈委員會組織規程,,廢止法規＞考選部
04639005,R0000005,考選部國軍上校以上軍官外職停役轉任公務人員檢覈委員會組織規程,,廢止法規＞考選部
04602002,R0000006,考選部考選工作研究委員會組織規程,,考試＞考選部＞組織目
04602003,R0000007,考選部法規委員會組織規程,,考試＞考選部＞組織目
04602010,R0000009,專門職業及技術人員考試審議委員會組織規程,,考試＞考選部＞組織目
04602011,R0000010,專門職業及技術人員考試訓練委員會組織規程,,廢止法規＞考選部
04602004,R0010001,考選部處務規程,,考試＞考選部＞組織目
04602006,R0010002,考選部部務會議規則,,廢止法規＞考選部
04602007,R0010003,考選部工作檢討會議規則,,廢止法規＞考選部
04561006,R0010004,考選部訴願審議委員會審議規則,,廢止法規＞考選部
04613001,R0020002,典試法施行細則,,考試＞考選部＞一般性考試目
04613006,R0020003,典試委員會會議規則,,考試＞考選部＞一般性考試目
04613007,R0020005,試場規則,,考試＞考選部＞一般性考試目
04613008,R0020006,監場規則,,考試＞考選部＞一般性考試目
09460010,R0020007,監場人員選聘規則,,廢止法規＞考選部
04605030,R0020008,著作發明審查規則,,考試＞考選部＞一般性考試目
,R0020009,考選部受理妨害考試檢舉辦法,,廢止法規＞考選部
09460012,R0020010,考試時遇有空襲警報處理辦法,,廢止法規＞考選部
09460014,R0020011,應考人呈繳偽造或變造證件處理辦法,,廢止法規＞考選部
09460015,R0020012,闈場規則,,廢止法規＞考選部
04613002,R0020013,測驗式試題閱卷辦法,測驗試卷評閱辦法,廢止法規＞考選部
04613003,R0020014,測驗式試題計分辦法,,廢止法規＞考選部
04605038,R0020015,應考資格審查規則,,考試＞考選部＞一般性考試目
04613019,R0020016,應考人申請複查成績辦法,"應考人申請複查考試成績處理辦法,應考人申請複查成績處理辦法",考試＞考選部＞一般性考試目
04613004,R0020017,命題規則,,考試＞考選部＞一般性考試目
04613005,R0020018,閱卷規則,,考試＞考選部＞一般性考試目
04613009,R0020019,試卷試卡保管辦法,,廢止法規＞考選部
04613012,R0020020,題庫建立及運用辦法,題庫設置辦法,考試＞考選部＞一般性考試目
04613011,R0020021,測驗式試題命題辦法,,廢止法規＞考選部
04613015,R0020022,考選部委託辦理試務辦法,,廢止法規＞考選部
04605098,R0020023,心理測驗與體能測驗規則,,廢止法規＞考選部
04605001,R0030002,公務人員考試法施行細則,,考試＞考選部＞公務人員考試目
04605003,R0030003,公務人員高等暨普通考試訓練辦法,,廢止法規＞公務人員保障暨培訓委員會
04605004,R0030004,公務人員考試口試規則,,廢止法規＞考選部
04605006,R0030005,公務人員考試實地考試規則,,廢止法規＞考選部
04605005,R0030006,公務人員考試總成績計算規則,,考試＞考選部＞公務人員考試目
04605002,R0030007,公務人員考試體格檢查辦法,公務人員考試體格檢查標準,考試＞考選部＞公務人員考試目
04605007,R0030008,僑居國外國民回國應公務人員考試獎勵辦法,,廢止法規＞考選部
09463001,R0030009,特種考試公務人員甲等考試規則,,廢止法規＞考選部
09463011,R0030010,特種考試公務人員甲等考試口試辦法,,廢止法規＞考選部
04605043,R0030011,軍法官考試規則,特種考試軍法官考試規則,考試＞考選部＞公務人員考試目
04605044,R0030012,特種考試軍法官考試錄取人員訓練辦法,特種考試軍法人員考試錄取人員訓練辦法;特種考試警察人員考試規則;公務人員特種考試警察人員考試規則,廢止法規＞考選部
04605009,R0030014,特種考試警察人員考試應考人體格檢查標準,,廢止法規＞考選部
04605010,R0030015,特種考試警察人員考試錄取人員訓練辦法,,廢止法規＞考選部
04605077,R0030016,公務人員考試錄取人員訓練辦法,,"考試＞公務人員保障暨培訓委員會＞培訓目    "
04605012,R0030017,特種考試中央銀行行員考試錄取人員實習辦法,,廢止法規＞考選部
04605075,R0030018,公務人員高等考試三級考試暨普通考試規則,公務人員高等考試三級考試暨普通考試分試考試規則,考試＞考選部＞公務人員考試目
,R0030019,特種考試司法人員考試丙等司法人員監所管理員應考人體格檢查標準,,廢止法規＞考選部
94605001,R0030020,公務人員特種考試法務部調查局調查人員考試規則,"特種考試法務部調查局調查人員考試規則;特種考試法務部調查局調查人員考試規則,特種考試司法行政部調查局調查人員考試規則",考試＞考選部＞公務人員考試目
04605031,R0030021,特種考試交通事業人員考試規則,,考試＞考選部＞公務人員考試目
04605083,R0030022,公務人員特種考試關務人員考試規則,特種考試關務人員考試規則,考試＞考選部＞公務人員考試目
09463007,R0030023,雇員考試規則,,廢止法規＞考選部
04605014,R0030024,公務人員特種考試外交領事人員及外交行政人員考試規則,"特種考試外交領事人員、外交行政人員暨國際新聞人員考試規則;公務人員特種考試外交領事人員外交行政人員及國際新聞人員考試規則;特種考試外交領事人員暨國際新聞人員考試規則,特種考試外交領事人員、外交行政人員暨國際新聞人員考試規則,公務人員特種考試外交領事人員外交行政人員及國際新聞人員考試規則",考試＞考選部＞公務人員考試目
04605019,R0030025,特種考試外交領事人員、外交行政人員暨國際新聞人員考試體格檢查標準,,廢止法規＞考選部
04605039,R0030026,特種考試外交領事人員、外交行政人員暨國際新聞人員考試錄取人員訓練辦法,,廢止法規＞考選部
04605032,R0030027,特種考試交通事業鐵路人員考試錄取人員學習辦法,,廢止法規＞考選部
04605033,R0030028,特種考試交通事業民航人員考試錄取人員訓練學習辦法,,廢止法規＞考選部
04605018,R0030029,公務人員特種考試國際經濟商務人員考試規則,"特種考試國際經濟商務人員考試規則;特種考試國際經濟商務人員考試規則,特種考試經濟部國際經濟商務人員考試規則",考試＞考選部＞公務人員考試目
,R0030030,特種考試國際經濟商務人員考試體格檢查標準,,廢止法規＞考選部
,R0030031,特種考試國際經濟商務人員考試錄取人員訓練辦法,,廢止法規＞考選部
04605034,R0030032,特種考試交通事業公路人員考試錄取人員學習辦法,,廢止法規＞考選部
04605090,R0030033,公務人員初等考試規則,,考試＞考選部＞公務人員考試目
04605022,R0030034,特種考試退除役軍人轉任公務人員考試丙等監所管理員考試應考人體格檢查標準,,廢止法規＞考選部
04610001,R0030036,公務人員升官等考試法施行細則,公務人員升等考試法施行細則,考試＞考選部＞公務人員考試目
04610002,R0030037,交通事業人員升資考試規則,,考試＞考選部＞公務人員考試目
09464002,R0030038,行政院所屬金融保險事業機構雇員升等考試規則,,廢止法規＞考選部
09464009,R0030039,臺灣地區省（市）營事業機構人員升等考試規則,,廢止法規＞考選部
04610004,R0030040,警監警察官升等考試口試辦法,,廢止法規＞考選部
09464010,R0030041,公立學校職員升等考試規則,,廢止法規＞考選部
09464007,R0030042,臺灣省政府交通事業機構現職差工晉升士級人員考試辦法,,廢止法規＞考選部
04610003,R0030043,警察人員升官等考試規則,警察人員升等考試規則,考試＞考選部＞公務人員考試目
04605096,R0030044,口試規則,,考試＞考選部＞一般性考試目
04613021,R0030045,實地測驗規則,實地考試規則,考試＞考選部＞一般性考試目
,R0030046,後備軍人轉任公職考試應考人體格檢驗標準,,廢止法規＞考選部
04639002,R0030047,國軍上校以上軍官外職停役轉任公務人員檢覈規則,,廢止法規＞考選部
04639004,R0030048,國軍上校以上軍官外職停役轉任公務人員檢覈筆試、口試、審查知能有關學歷、經歷證明及論文或實地考試辦法,國軍上校以上軍官外職停役轉任公務人員檢覈筆試、口試或實地考試辦法,廢止法規＞考選部
02601010,R0030049,國軍退除役官兵參加公務人員考試及轉任公務人員優待辦法,,考試＞考選部＞公務人員考試目
04605051,R0030050,特種考試政風人員考試規則,,廢止法規＞考選部
,R0030051,特種考試法務部調查局調查人員考試體格檢查標準,,廢止法規＞考選部
,R0030052,特種考試法務部調查局調查人員考試錄取人員訓練辦法（82.11.23訂定）,,廢止法規＞考選部
01599010,R0030053,關務人員升官等考試規則,關務人員升等考試規則,考試＞考選部＞公務人員考試目
04605052,R0030054,公務人員特種考試國家安全局國家安全情報人員考試規則,特種考試國家安全局國家安全情報人員考試規則,考試＞考選部＞公務人員考試目
,R0030055,特種考試國家安全局國家安全情報人員考試應考人體格檢查標準,,廢止法規＞考選部
04605054,R0030056,特種考試國家安全局國家安全情報人員考試錄取人員訓練辦法,,廢止法規＞考選部
94605002,R0030057,外語口試規則,,考試＞考選部＞一般性考試目
