立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
01504003,G0310014,財政部臺灣省中區國稅局辦事細則,,廢止法規＞財政部
01504005,G0310015,財政部臺灣省北區國稅局辦事細則,,廢止法規＞財政部
01586001,G0310016,財政部關稅總局辦事細則,,廢止法規＞財政部
01939002,G0310017,財政部所屬公營事業移轉民營從業人員優惠優先認購股份辦法,,行政＞財政部＞組織目
01605002,G0310018,財政部基隆關稅局辦事細則,,廢止法規＞財政部
01605003,G0310019,財政部臺北關稅局辦事細則,,廢止法規＞財政部
01605004,G0310020,財政部臺中關稅局辦事細則,,廢止法規＞財政部
01605005,G0310021,財政部高雄關稅局辦事細則,,廢止法規＞財政部
01511001,G0320002,公庫法施行細則,,廢止法規＞財政部
01510001,G0320004,國庫法施行細則,,行政＞財政部＞國庫目
01510003,G0320005,財政部地區支付處員工投保信用保證保險辦法,,廢止法規＞財政部
01510004,G0320006,國庫收入退還支出收回處理辦法,,行政＞財政部＞國庫目
01510005,G0320007,國庫支票管理辦法,,行政＞財政部＞國庫目
01548001,G0320009,國庫券經理辦法,,行政＞財政部＞國庫目
09151002,G0320010,中央政府各機關專戶存管款項收支管理辦法,,廢止法規＞財政部
01510006,G0320011,中央政府機關暨國營事業公款存匯辦法,,廢止法規＞財政部
02301046,G0320012,行政院開發基金收支保管及運用辦法,,廢止法規＞財政部
01549001,G0320013,政府對民營重大經濟基本建設事業借款保證監督辦法,,行政＞財政部＞國庫目
09151003,G0320014,統一捐款獻金收支處理辦法,,廢止法規＞財政部
02301003,G0320016,中央統籌分配稅款平衡省市預算基金收支保管及運用辦法,,廢止法規＞財政部
01508002,G0320018,中央對直轄市及縣（市）政府補助辦法,,"行政＞行政院主計總處＞歲計目       "
01508001,G0320020,中央統籌分配稅款分配辦法,,行政＞財政部＞國庫目
01582001,G0330002,臺灣省內菸酒專賣暫行條例施行細則,,廢止法規＞財政部
01582002,G0330003,臺灣地區含藥酒類管理辦法,臺灣省內含藥酒類管理辦法,廢止法規＞財政部
09152001,G0330004,臺灣地區菸酒零售管理辦法,臺灣省內菸酒零售管理辦法,廢止法規＞財政部
09152002,G0330005,臺灣地區船員菸酒供應辦法,臺灣地區海員菸酒供應辦法,廢止法規＞財政部
,G0330006,臺灣地區白浀紅浀酒母管理辦法,,廢止法規＞財政部
09152004,G0330007,臺灣地區洋菸洋酒管理辦法,,廢止法規＞財政部
09152005,G0330008,臺灣地區菸草種植管理辦法,臺灣省菸酒公賣局菸草種植管理辦法,廢止法規＞財政部
09152006,G0330009,臺灣地區酒精管理辦法,,廢止法規＞財政部
01623001,G0330012,菸酒管理法施行細則,,行政＞財政部＞國庫目
01623005,G0330013,檢舉或查獲違規菸酒案件獎勵辦法,,行政＞財政部＞國庫目
01623004,G0330014,酒類標示管理辦法,,行政＞財政部＞國庫目
01623002,G0330015,菸酒業審查費證照費及許可費收費標準,,行政＞財政部＞國庫目
01623003,G0330016,未變性酒精管理辦法,,行政＞財政部＞國庫目
,G0330021,菸品健康福利捐分配及運作辦法（89.12.29訂定）,,廢止法規＞財政部
01622002,G0330022,菸酒稅稽徵規則,,行政＞財政部＞賦稅目
01624001,G0330028,原臺灣省菸酒公賣局現職人員離退辦法,,行政＞財政部＞國庫目
01512002,G0340002,限制欠稅人出國實施辦法,"限制欠稅人或營利事業負責人出境實施辦法;限制欠稅人或欠稅營利事業負責人出境實施辦法;限制欠稅人或欠稅營利事業負責人出境實施辦法,限制欠稅人或營利事業負責人出境實施辦法",廢止法規＞財政部
01513001,G0340004,所得稅法施行細則,,行政＞財政部＞賦稅目
01513011,G0340005,營利事業登記規則,,廢止法規＞財政部
01513002,G0340006,營利事業所得稅藍色申報書實施辦法,,行政＞財政部＞賦稅目
01513003,G0340007,營利事業所得稅簡易申報書實施辦法,,廢止法規＞財政部
01513012,G0340008,會計師代理所得稅事務辦法,,行政＞財政部＞賦稅目
01513004,G0340009,營利事業委託會計師查核簽證申報所得稅辦法,營利事業委託稅務代理人查核簽證申報辦法,行政＞財政部＞賦稅目
01513005,G0340010,稅捐稽徵機關管理營利事業會計帳簿憑證辦法,稅捐稽徵機關查驗管理營利事業會計帳簿憑證辦法,行政＞財政部＞賦稅目
01513006,G0340011,營利事業設置職工退休基金保管運用及分配辦法,,行政＞財政部＞賦稅目
,G0340012,教育文化公益慈善機關或團體免納所得稅適用標準,教育、文化、公益、慈善機關或團體免納所得稅適用標準,行政＞財政部＞賦稅目
01513008,G0340013,薪資所得扣繳辦法,,行政＞財政部＞賦稅目
01928028,G0340015,營利事業資產重估價辦法,,行政＞財政部＞賦稅目
01512007,G0340016,電子稅務實施辦法,,行政＞財政部＞賦稅目
01517003,G0340017,貨物稅稽徵規則,,行政＞財政部＞賦稅目
01517007,G0340018,軍用貨品貨物稅免稅辦法,,行政＞財政部＞賦稅目
01154004,G0340020,增繳地價稅抵繳土地增值稅辦法,都市土地增繳地價稅抵繳土地增值稅辦法,行政＞財政部＞賦稅目
01524002,G0340022,不動產評價實施辦法,,廢止法規＞財政部
01509001,G0340024,財務罰鍰給獎分配辦法,,行政＞財政部＞賦稅目
09153004,G0340025,加強稅務監察工作實施辦法,,廢止法規＞財政部
09153005,G0340026,稅務關務人員服務獎懲辦法,,廢止法規＞財政部
09153006,G0340027,各級稅務人員輪調辦法,,廢止法規＞財政部
01513009,G0340028,各類所得扣繳率標準,各類所得扣繳率表,行政＞財政部＞賦稅目
01513010,G0340030,執行業務所得查核辦法,,行政＞財政部＞賦稅目
01517004,G0340033,中央系統型及汽車冷暖氣機貨物稅折算課徵辦法,中央系統型及汽車冷暖氣機貨物稅改就主要機件折算課徵辦法,行政＞財政部＞賦稅目
01512001,G0340034,稅捐稽徵機關受理擔保品計值及認定辦法,黃金外幣及上市有價證券作為擔保品計值辦法,行政＞財政部＞賦稅目
01517005,G0340038,貨物稅課稅貨物完稅價格評定規則,,廢止法規＞財政部
01512005,G0340039,稅捐稽徵法施行細則,,行政＞財政部＞賦稅目
01512006,G0340040,稅務違章案件減免處罰標準,,行政＞財政部＞賦稅目
01164006,G0340043,水源特定區土地減免土地增值稅贈與稅及遺產稅標準,,行政＞經濟部＞水利目
01958009,G0340044,民間機構參與重大公共建設營利事業股東適用投資抵減辦法,,行政＞財政部＞賦稅目
,G0340049,國內營利事業給付外銷佣金辦理扣繳準則,,行政＞財政部＞賦稅目
01512003,G0340051,營利事業所得稅查核準則,營利事業所得稅結算申報查核準則,行政＞財政部＞賦稅目
04108007,G0340052,民間機構參與九二一震災災區公共建設適用免納營利事業所得稅辦法,,廢止法規＞財政部
04108008,G0340053,民間機構參與九二一震災災區公共建設適用投資抵減辦法,,廢止法規＞財政部
01963010,G0340054,民間機構參與交通建設免納營利事業所得稅辦法,,行政＞財政部＞賦稅目
01963009,G0340055,民間機構參與交通建設減免地價稅房屋稅及契稅標準,,行政＞財政部＞賦稅目
01958007,G0340057,民間機構參與重大公共建設適用免納營利事業所得稅辦法,,行政＞財政部＞賦稅目
01958008,G0340058,民間機構參與重大公共建設適用投資抵減辦法,,行政＞財政部＞賦稅目
01515001,G0340073,遺產及贈與稅法施行細則,,行政＞財政部＞賦稅目
01929001,G0340075,華僑回國投資其經審定之投資額課徵遺產稅優待辦法,,行政＞財政部＞賦稅目
01528023,G0340077,進口貨物稅則預先審核實施辦法,進口貨物稅則預先歸列實施辦法,行政＞財政部＞賦稅目
01521001,G0340081,加值型及非加值型營業稅法施行細則,營業稅法施行細則,行政＞財政部＞賦稅目
01521002,G0340082,統一發票使用辦法,,行政＞財政部＞賦稅目
01521003,G0340083,統一發票給獎辦法,,行政＞財政部＞賦稅目
01521004,G0340084,營業人使用收銀機辦法,,行政＞財政部＞賦稅目
01521005,G0340085,兼營營業人營業稅額計算辦法,,行政＞財政部＞賦稅目
01521006,G0340086,營業稅特種稅額查定辦法,,行政＞財政部＞賦稅目
01516001,G0340092,印花稅法施行細則,,行政＞財政部＞賦稅目
01516002,G0340093,印花稅檢查規則,,行政＞財政部＞賦稅目
01516003,G0340094,印花稅彙總繳納辦法,,行政＞財政部＞賦稅目
01519002,G0340097,土地稅法施行細則,,行政＞財政部＞賦稅目
01519003,G0340098,土地稅減免規則,土地賦稅減免規程;土地賦稅減免規則,行政＞財政部＞賦稅目
01232001,G0340099,農村社區土地重劃祖先遺留共有土地減徵土地增值稅標準,,行政＞財政部＞賦稅目
04108002,G0340100,九二一震災災區祖先遺留共有土地減徵土地增值稅標準,,廢止法規＞財政部
01528003,G0350002,關稅法施行細則,,行政＞財政部＞關務目
01528004,G0350003,入境旅客攜帶行李物品報驗稅放辦法,,行政＞財政部＞關務目
01528005,G0350004,政府派駐國外人員任滿調回攜帶自用物品辦法,,行政＞財政部＞關務目
01528006,G0350005,海關管理保稅工廠辦法,,行政＞財政部＞關務目
01528007,G0350006,保稅倉庫設立及管理辦法,,行政＞財政部＞關務目
01528008,G0350007,報關業設置管理辦法,報關行設置管理辦法,行政＞財政部＞關務目
01528018,G0350008,駐華外交機構及其人員進口用品免稅辦法,在華外交機構與人員進口用品免稅規則,行政＞財政部＞關務目
,G0350009,進口貨物短卸、溢卸、短裝、溢裝處理細則,,廢止法規＞財政部
01528010,G0350010,運輸工具進出口通關管理辦法,,行政＞財政部＞關務目
01528011,G0350011,減免關稅之進口貨物補稅辦法,免稅或從低徵稅之進口貨物稅辦法;免稅或從低徵稅之進口貨物補稅辦法,行政＞財政部＞關務目
01528038,G0350012,進出口貨物預行報關處理準則,,行政＞財政部＞關務目
01528032,G0350013,進出口貨物查驗準則,進出口貨物查驗及取樣準則,行政＞財政部＞關務目
01528025,G0350014,出口貨物報關驗放辦法,,行政＞財政部＞關務目
01528031,G0350015,船員國外回航或調岸攜帶自用行李物品進口辦法,,行政＞財政部＞關務目
09154006,G0350016,外銷品售後服務或運回整修通關辦法,,廢止法規＞財政部
01528040,G0350017,廣告品及貨樣進口通關辦法,貨物樣品進口通關辦法,行政＞財政部＞關務目
09154009,G0350018,解體船隻進口通關辦法,,廢止法規＞財政部
02701001,G0350019,原子能設備進口關稅減免辦法,,行政＞財政部＞關務目
01528012,G0350020,救濟物資進口免稅辦法,救濟物資進口免稅規則,行政＞財政部＞關務目
01528037,G0350021,郵包物品進口免稅辦法,"郵包免稅與免驗簽證限度規則;郵包免稅與免驗簽證限度規則,郵包免稅與免驗結匯簽證限度規則",廢止法規＞財政部
01528013,G0350022,軍用物品進口免稅辦法,軍用物品進口免稅規則,行政＞財政部＞關務目
01528024,G0350023,外銷品沖退原料稅辦法,外銷品退還稅捐辦法;外銷品沖退稅捐辦法;外銷品沖退原料稅捐辦法,行政＞財政部＞關務目
09154019,G0350024,在華外交機構與人員免稅進口車輛出售補稅規則,,廢止法規＞財政部
01528015,G0350025,海關徵收規費規則,,行政＞財政部＞關務目
01528028,G0350026,海關管理貨櫃集散站辦法,海關管理貨櫃辦法,行政＞財政部＞關務目
01528027,G0350027,海關管理進出口貨棧辦法,,行政＞財政部＞關務目
01528026,G0350028,海關管理保稅運貨工具辦法,,行政＞財政部＞關務目
01530001,G0350030,運輸工具私運貨物處分警告及停止結關出口辦法,,廢止法規＞財政部
09154015,G0350031,海關執行欠稅及罰鍰核發獎勵金辦法,,廢止法規＞財政部
09154016,G0350032,外籍人士及華僑入境攜帶大陸物品免費寄存作業細則,外籍人士及華僑入境攜帶匪偽或禁止進口國家及地區物品免費寄存作業細則,廢止法規＞財政部
